URL,Template type,Status code,Canonical target,Indexability,Robots directive,Title length,Meta description length,H1 present (Y/N),Approx word count,Inlinks/Outlinks,Notes
https://familyvest.com/,home,Expected 200 (not testable on preview: 401 auth gate),https://familyvest.com/,Indexable,,64,223,Y,1046,15/15,missing robots meta; broken internal links: /adv|/disclosures|/privacy|/terms
https://familyvest.com/about,about,Expected 200 (not testable on preview: 401 auth gate),https://familyvest.com/about,Indexable,,29,177,Y,596,26/15,missing robots meta; broken internal links: /adv|/disclosures|/privacy|/terms
https://familyvest.com/autism-resource-navigator,blog,Expected 200 (not testable on preview: 401 auth gate),https://familyvest.com/autism-resource-navigator,Indexable,"index, follow, max-snippet:-1, max-image-preview:large",93,256,Y,20222,1/15,broken internal links: /adv|/disclosures|/privacy|/terms
https://familyvest.com/blog,blog,Expected 200 (not testable on preview: 401 auth gate),https://familyvest.com/blog,Indexable,,40,157,Y,664,26/16,missing robots meta; broken internal links: /adv|/autism-resources|/disclosures|/privacy|/terms
https://familyvest.com/contact,contact,Expected 200 (not testable on preview: 401 auth gate),https://familyvest.com/contact,Indexable,,31,148,Y,234,29/15,missing robots meta; broken internal links: /adv|/disclosures|/privacy|/terms; form missing action
https://familyvest.com/get-started,contact,Expected 200 (not testable on preview: 401 auth gate),https://familyvest.com/get-started,Indexable,,35,113,Y,342,48/16,missing robots meta; broken internal links: /adv|/cdn-cgi/l/email-protection|/disclosures|/privacy|/terms; form missing action
https://familyvest.com/investment-management,service,Expected 200 (not testable on preview: 401 auth gate),https://familyvest.com/investment-management,Indexable,,45,240,Y,711,27/15,missing robots meta; broken internal links: /adv|/disclosures|/privacy|/terms
https://familyvest.com/login,login,Expected 200 (not testable on preview: 401 auth gate),https://familyvest.com/login,Non-Indexable,"noindex, nofollow",29,37,Y,178,14/16,broken internal links: /adv|/disclosures|/forgot-password|/privacy|/terms; form missing action
https://familyvest.com/planning,service,Expected 200 (not testable on preview: 401 auth gate),https://familyvest.com/planning,Indexable,,63,195,Y,944,16/15,missing robots meta; broken internal links: /adv|/disclosures|/privacy|/terms
https://familyvest.com/planning-business-exits,service,Expected 200 (not testable on preview: 401 auth gate),https://familyvest.com/planning-business-exits,Indexable,,67,255,Y,954,28/15,missing robots meta; broken internal links: /adv|/disclosures|/privacy|/terms
https://familyvest.com/planning-retirement,service,Expected 200 (not testable on preview: 401 auth gate),https://familyvest.com/planning-retirement,Indexable,,43,200,Y,812,28/15,missing robots meta; broken internal links: /adv|/disclosures|/privacy|/terms
https://familyvest.com/planning-special-needs,service,Expected 200 (not testable on preview: 401 auth gate),https://familyvest.com/planning-special-needs,Indexable,,46,215,Y,981,28/16,missing robots meta; broken internal links: /adv|/disclosures|/privacy|/terms
