URL,Template type,Status code,Canonical target,Indexability,Robots directive,Title length,Meta description length,H1 present (Y/N),Approx word count,Inlinks/Outlinks,Notes
https://www.familyvest.com/,home,200,https://www.familyvest.com/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",63,145,Y,475,155/25,
https://www.familyvest.com/about/,about,200,https://www.familyvest.com/about/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",59,160,Y,746,154/14,
https://www.familyvest.com/blog/,blog,200,https://www.familyvest.com/blog/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",64,134,Y,9397,192/675,
https://www.familyvest.com/blog/family-vest/how-to-choose-a-financial-planner-your-ultimate-guide/,blog,404,,Non-Indexable,,0,0,N,0,1/0,
https://www.familyvest.com/blog/how-to-start-saving-for-college-and-alternatives-to-529-plans/,blog,404,,Non-Indexable,,0,0,N,0,1/0,
https://www.familyvest.com/blog/legal-considerations-of-special-needs-planning/,blog,404,,Non-Indexable,,0,0,N,0,1/0,
https://www.familyvest.com/blog/page/2/,blog,200,https://www.familyvest.com/blog/page/2/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",64,134,Y,172,2/28,
https://www.familyvest.com/client-login/,login,200,https://www.familyvest.com/client-login/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",25,80,N,46,150/14,short title; missing H1
https://www.familyvest.com/complimentary-assessment/,other,200,https://www.familyvest.com/complimentary-assessment/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",37,141,N,95,159/14,missing H1
https://www.familyvest.com/contact/,contact,200,https://www.familyvest.com/contact/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",54,131,Y,49,206/14,
https://www.familyvest.com/family-vest/blog,blog,404,,Non-Indexable,,0,0,N,0,1/0,
https://www.familyvest.com/family-vest/blog/10-of-the-biggest-retirement-planning-mistakes-you-need-to-avoid/,blog,200,https://www.familyvest.com/family-vest/blog/10-of-the-biggest-retirement-planning-mistakes-you-need-to-avoid/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",64,207,Y,2368,21/31,
https://www.familyvest.com/family-vest/blog/2020-roth-ira-contribution-and-income-limits/,blog,200,https://www.familyvest.com/family-vest/blog/2020-roth-ira-contribution-and-income-limits/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",86,121,Y,1188,24/31,
https://www.familyvest.com/family-vest/blog/2020-year-end-financial-checklist/,blog,200,https://www.familyvest.com/family-vest/blog/2020-year-end-financial-checklist/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",57,138,Y,1141,12/29,
https://www.familyvest.com/family-vest/blog/5-things-millennials-should-ask-when-investing/,blog,200,https://www.familyvest.com/family-vest/blog/5-things-millennials-should-ask-when-investing/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",60,155,Y,1953,20/31,
https://www.familyvest.com/family-vest/blog/6-big-questions-to-consider-for-your-retirement/,blog,200,https://www.familyvest.com/family-vest/blog/6-big-questions-to-consider-for-your-retirement/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",47,159,Y,1526,18/29,
https://www.familyvest.com/family-vest/blog/6-financial-lessons-to-teach-your-child-before-leaving-home/,blog,200,https://www.familyvest.com/family-vest/blog/6-financial-lessons-to-teach-your-child-before-leaving-home/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",83,147,Y,999,24/31,
https://www.familyvest.com/family-vest/blog/7-retirement-planning-tips-for-women/,blog,200,https://www.familyvest.com/family-vest/blog/7-retirement-planning-tips-for-women/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",36,220,Y,1384,20/30,
https://www.familyvest.com/family-vest/blog/8-unique-financial-planning-concerns-for-families-with-special-needs/,blog,200,https://www.familyvest.com/family-vest/blog/8-unique-financial-planning-concerns-for-families-with-special-needs/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",68,235,Y,1314,26/33,
https://www.familyvest.com/family-vest/blog/a-simple-5-step-process-to-set-goals-that-matter/,blog,200,https://www.familyvest.com/family-vest/blog/a-simple-5-step-process-to-set-goals-that-matter/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",48,146,Y,1488,24/28,
https://www.familyvest.com/family-vest/blog/a-special-needs-plan/,blog,200,https://www.familyvest.com/family-vest/blog/a-special-needs-plan/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",62,157,Y,2725,20/33,
https://www.familyvest.com/family-vest/blog/able-accounts-filling-the-gap-in-special-needs-planning/,blog,200,https://www.familyvest.com/family-vest/blog/able-accounts-filling-the-gap-in-special-needs-planning/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",56,158,Y,878,17/27,
https://www.familyvest.com/family-vest/blog/author/admin/,blog,200,https://www.familyvest.com/family-vest/blog/author/admin/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",64,0,Y,9246,444/668,missing meta description
https://www.familyvest.com/family-vest/blog/author/admin/page/2/,blog,200,https://www.familyvest.com/family-vest/blog/author/admin/page/2/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",78,0,Y,177,2/28,missing meta description
https://www.familyvest.com/family-vest/blog/better-manage-medical-bills-with-these-5-strategies/,blog,301,,Non-Indexable,,0,0,N,0,5/0,
https://www.familyvest.com/family-vest/blog/better-manage-medical-bills/,blog,200,https://www.familyvest.com/family-vest/blog/better-manage-medical-bills/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",51,138,Y,1097,20/27,
https://www.familyvest.com/family-vest/blog/bidens-tax-plan-how-may-it-affect-you/,blog,200,https://www.familyvest.com/family-vest/blog/bidens-tax-plan-how-may-it-affect-you/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",64,119,Y,917,12/30,
https://www.familyvest.com/family-vest/blog/buying-a-home-post-pandemic-what-will-look-different/,blog,200,https://www.familyvest.com/family-vest/blog/buying-a-home-post-pandemic-what-will-look-different/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",78,127,Y,1281,13/27,
https://www.familyvest.com/family-vest/blog/buying-your-first-home-4-financial-considerations-to-make/,blog,200,https://www.familyvest.com/family-vest/blog/buying-your-first-home-4-financial-considerations-to-make/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",82,150,Y,1134,27/31,
https://www.familyvest.com/family-vest/blog/can-your-cash-reserves-handle-an-emergency,blog,301,,Non-Indexable,,0,0,N,0,1/0,
https://www.familyvest.com/family-vest/blog/can-your-cash-reserves-handle-an-emergency/,blog,200,https://www.familyvest.com/family-vest/blog/can-your-cash-reserves-handle-an-emergency/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",43,158,Y,1167,31/29,
https://www.familyvest.com/family-vest/blog/category/401k/,blog,200,https://www.familyvest.com/family-vest/blog/category/401k/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",54,55,Y,173,6/28,short meta description
https://www.familyvest.com/family-vest/blog/category/behavioral-investing/,blog,200,https://www.familyvest.com/family-vest/blog/category/behavioral-investing/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",70,71,Y,356,17/42,
https://www.familyvest.com/family-vest/blog/category/benefits/,blog,200,https://www.familyvest.com/family-vest/blog/category/benefits/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",58,59,Y,286,11/35,short meta description
https://www.familyvest.com/family-vest/blog/category/business-planning/,blog,200,https://www.familyvest.com/family-vest/blog/category/business-planning/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",67,68,Y,259,11/34,short meta description
https://www.familyvest.com/family-vest/blog/category/college-planning/,blog,200,https://www.familyvest.com/family-vest/blog/category/college-planning/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",66,67,Y,165,6/28,short meta description
https://www.familyvest.com/family-vest/blog/category/economy/,blog,200,https://www.familyvest.com/family-vest/blog/category/economy/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",57,58,Y,450,18/45,short meta description
https://www.familyvest.com/family-vest/blog/category/financial-goals/,blog,200,https://www.familyvest.com/family-vest/blog/category/financial-goals/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",48,0,Y,383,25/52,duplicate title; missing meta description
https://www.familyvest.com/family-vest/blog/category/financial-planning-services/,blog,200,https://www.familyvest.com/family-vest/blog/category/financial-planning-services/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",77,78,Y,363,18/43,
https://www.familyvest.com/family-vest/blog/category/financial-planning/,blog,200,https://www.familyvest.com/family-vest/blog/category/financial-planning/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",68,69,Y,4592,237/360,short meta description
https://www.familyvest.com/family-vest/blog/category/grandparenting-special-needs/,blog,200,https://www.familyvest.com/family-vest/blog/category/grandparenting-special-needs/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",78,79,Y,170,7/28,
https://www.familyvest.com/family-vest/blog/category/insurance/,blog,200,https://www.familyvest.com/family-vest/blog/category/insurance/,Indexable,"index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1",59,60,Y,164,6/27,short meta description
