"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex","FamilyVest | Wealth Management & Financial Planning | Destin, FL","64","590","FamilyVest at Farther provides fee-only comprehensive wealth management and financial planning for families, business owners, and professionals navigating financial complexity. CFA + CFP fiduciary, Destin FL and nationwide.","223","1401","wealth management, financial planning, fee-only fiduciary, CFA, Destin FL, Emerald Coast, retirement planning, special needs planning, business exit planning","157","Your finances deserve a deliberate plan.","40","Built for financial complexity.","31","Hear from the people we serve.","30","index, follow","noindex","","https://familyvest.com/","","","","","","363855","245869","245869","94.188","","925","215","4.302","37.567","Hard","2.065","0","0","","18","15","0","100.000","32","15","0","3","3","0","","","","","d4d17aacc4ba96b960365862ffcce981","0.128","Tue, 03 Mar 2026 20:01:47 GMT","","","","en","1.1","","","","","","https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/","2026-03-03 14:02:30"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/privacy","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex","Privacy Policy | FamilyVest","27","238","FamilyVest privacy policy and data handling practices.","54","336","","0","Privacy Policy","14","Information We Collect","22","How We Use Information","22","index, follow","noindex","","https://familyvest.com/privacy","","","","","","3634","1725","1725","0.661","","160","30","5.333","29.578","Very Hard","33.407","1","0","","15","15","0","100.000","8","5","0","0","0","0","","","","","3774a2e3e297cb027ec6a00c8de6aaa1","0.195","Tue, 03 Mar 2026 20:02:30 GMT","","","","en","1.1","","","","","","https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/privacy","2026-03-03 14:02:30"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/about","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex","About | FamilyVest at Farther","29","261","Meet Todd Sensing, CFA, CFP and the FamilyVest team. 25+ years of fee-only financial planning and investment management from Florida's Emerald Coast, serving clients nationwide.","177","1125","","0","Built on Experience. Driven by Purpose.","39","Todd Sensing","12","Elliot Klein","12","index, follow","noindex","","https://familyvest.com/about","","","","","","353307","247555","247555","94.834","","478","96","4.979","53.289","Fairly Hard","1.141","1","0","","25","11","0","73.330","36","15","0","3","3","0","","","","","b627ee2f2f0c2ccecf309285780e8088","0.311","Tue, 03 Mar 2026 20:02:30 GMT","","","","en","1.1","","","","","","https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/about","2026-03-03 14:02:30"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/blog","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex","Blog & Resources | FamilyVest at Farther","40","362","Financial planning insights, retirement strategies, special needs planning guidance, and investment perspectives from FamilyVest at Farther. Destin, Florida.","157","958","","0","Insights for Thoughtful Financial Decisions","43","Planning Resources","18","Have a Question We Haven’t Covered?","35","index, follow","noindex","","https://familyvest.com/blog","","","","","","212562","142765","142765","54.691","","533","105","5.076","58.196","Fairly Hard","2.026","1","0","","25","11","0","73.330","29","16","0","13","4","0","","","","","6eadfd7671882007e851fa1ed6ff5a52","0.352","Tue, 03 Mar 2026 20:02:30 GMT","","","","en","1.1","","","","","","https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/blog","2026-03-03 14:02:30"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-special-needs","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex","Special Needs Planning | FamilyVest at Farther","46","418","Special needs financial planning from an advisor with two sons on the spectrum. Benefit preservation, special needs trusts, ABLE accounts, estate coordination, and lifetime funding strategies. FamilyVest at Farther.","215","1320","","0","Planning for Your Child’s Lifetime—With Someone Who Gets It","59","We Built the Resource We Wished Our Family Had","46","That’s All It Takes to Lose Everything","38","index, follow","noindex","","https://familyvest.com/planning-special-needs","","","","","","196617","124171","124171","47.568","","839","187","4.487","63.432","Normal","3.187","1","0","","27","11","0","73.330","28","16","0","3","3","0","","","","","ecde5991399166bb34053171ada6d62a","0.256","Tue, 03 Mar 2026 20:02:31 GMT","","","","en","1.1","","","","","","https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-special-needs","2026-03-03 14:02:30"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-business-exits","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex","Business Exit Planning | CEPA + CFA Advisor | FamilyVest at Farther","67","604","Business exit and succession planning from a Certified Exit Planning Advisor (CEPA) with CFA valuation expertise. Sell, transfer, or transition your business with a plan that protects your family, your legacy, and your next chapter. FamilyVest at Farther.","255","1543","","0","Your Business Is Your Biggest Asset. Your Family Is Your Biggest Priority.","74","Three Gaps That Determine Your Exit","35","What We Coordinate for Business Owners","38","index, follow","noindex","","https://familyvest.com/planning-business-exits","","","","","","187053","125368","125368","48.026","","801","137","5.847","64.970","Normal","3.145","1","0","","27","11","0","73.330","27","15","0","3","3","0","","","","","2f63ab71069de1ed12e3f7da74bbae1","0.300","Tue, 03 Mar 2026 20:02:31 GMT","","","","en","1.1","","","","","","https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-business-exits","2026-03-03 14:02:30"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex","Financial Planning | Comprehensive Wealth Planning | FamilyVest","63","584","Comprehensive financial planning that coordinates retirement, tax, estate, insurance, and investment strategy under one plan. FamilyVest at Farther, CFA + CFP fiduciary. Destin FL and nationwide.","195","1210","","0","Financial Planning That Sees the Whole Picture","46","Specialized expertise for every dimension of your financial life.","65","Every piece, coordinated.","25","index, follow","noindex","","https://familyvest.com/planning","","","","","","275247","188098","188098","72.057","","841","173","4.861","50.808","Fairly Hard","2.361","1","0","","16","11","0","73.330","30","15","0","3","3","0","","","","","e061526d6fc19bbc131b6a470e378dd4","0.202","Tue, 03 Mar 2026 20:02:31 GMT","","","","en","1.1","","","","","","https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning","2026-03-03 14:02:31"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/disclosures","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex","Disclosures | FamilyVest","24","218","Important investment advisory disclosures for FamilyVest.","57","361","","0","Disclosures","11","General Investment Risk","23","No Offer or Solicitation","24","index, follow","noindex","","https://familyvest.com/disclosures","","","","","","3020","1491","1491","0.571","","150","26","5.769","32.343","Hard","36.391","1","0","","16","15","0","100.000","6","6","0","0","0","0","","","","","302538e1e588900db3ece36d9ca89c3b","0.160","Tue, 03 Mar 2026 20:02:31 GMT","","","","en","1.1","","","","","","https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/disclosures","2026-03-03 14:02:31"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-retirement","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex","Retirement Planning | FamilyVest at Farther","43","391","Retirement planning that coordinates Social Security timing, Roth conversions, tax bracket management, withdrawal sequencing, and Medicare planning into one integrated strategy. FamilyVest at Farther.","200","1259","","0","Retirement Is a Financial Transition, Not a Finish Line","55","The Questions That Keep People Up at Night","42","A Plan Built for Your Retirement, Not a Template","48","index, follow","noindex","","https://familyvest.com/planning-retirement","","","","","","218530","148183","148183","56.766","","655","112","5.848","49.523","Hard","2.442","1","0","","27","11","0","73.330","27","15","0","3","3","0","","","","","ae6456509b405ff2b041fe495eb15c69","0.206","Tue, 03 Mar 2026 20:02:31 GMT","","","","en","1.1","","","","","","https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/planning-retirement","2026-03-03 14:02:31"
"https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/terms","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised,noindex","Terms of Use | FamilyVest","25","235","Terms of use for FamilyVest website visitors.","45","276","","0","Terms of Use","12","Website Content","15","No Advisory Relationship","24","index, follow","noindex","","https://familyvest.com/terms","","","","","","2929","1468","1468","0.562","","147","25","5.880","45.479","Hard","35.166","1","0","","16","15","0","100.000","6","6","0","0","0","0","","","","","f6965080112d1ae86fa99b71d8710a84","0.148","Tue, 03 Mar 2026 20:02:31 GMT","","","","en","1.1","","","","","","https://familyvest-site-i2mbk0hmw-amnfaardvarks-projects.vercel.app/terms","2026-03-03 14:02:31"
